url,listing_id,brand,model,version,mileage,year,transmission,drivetrain,fuel_type,horsepower_cv,location,seller,price_rating,price,listing_date,car_condition,previous_owners,body_type,exterior_color,interior_color,upholstery,seats,doors,engine,power_ch,cylinder_capacity
https://www.automobile.tn/fr/occasion/porsche/cayenne/121095,121095,Porsche,Cayenne,N/A,99800,2006,Automatique,Traction,Essence,20,Ariana,Individual,Prix équitable,52000,09.12.2025,Très bon,2ème main,SUV,Blanc,Beige,Cuir intégral,5,5,9PA01/2003 - 12/2006,N/A,N/A
https://www.automobile.tn/fr/occasion/kia/sportage/120944,120944,Kia,Sportage,N/A,64000,2017,Manuelle,Traction,Diesel,6,Ariana,Individual,Prix équitable,80000,09.12.2025,Très bon,1ère main,SUV,Noir,Noir,Tissu,5,5,IV Phase 109/2015 - 07/2018,N/A,N/A
https://www.automobile.tn/fr/occasion/suzuki/s-presso/121232,121232,Suzuki,S Presso,Pack Alu,20700,2023,Manuelle,Traction,Essence,4,Tunis,Individual,Prix équitable,32700,09.12.2025,Très bon,1ère main,SUV,Rouge,Noir,Tissu,5,5,06/2020 - 01/2023,N/A,N/A
https://www.automobile.tn/fr/occasion/volkswagen/golf-7/121231,121231,Volkswagen,Golf 7,7Smartline,150000,2015,Manuelle,Traction,Essence,5,Tunis,Individual,Prix équitable,50000,09.12.2025,Très bon,1ère main,Compacte,Gris argent,Noir,Tissu,5,5,VII 5 Portes08/2012 - 10/2016,N/A,N/A
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-c/117335,117335,Mercedes Benz,Classe C,CAMG +,79000,2018,Automatique,Propulsion,Essence,8,Ariana,Individual,Très bon prix,110000,09.12.2025,Très bon,2ème main,Berline,Noir,Marron,Cuir intégral,5,5,(205) Berline Phase 103/2014 - 09/2018,N/A,N/A
https://www.automobile.tn/fr/occasion/skoda/octavia/119624,119624,Skoda,Octavia,N/A,61000,2022,Automatique,Traction,Essence,8,Ariana,Individual,Prix très élevé,85000,09.12.2025,Très bon,1ère main,Berline,Bleu,Gris,Cuir partiel,5,4,N/A,N/A,N/A
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-e-coupe/87599,87599,Mercedes Benz,Classe E Coupe,E coupé,60000,2011,Automatique,Propulsion,Essence,11,Tunis,Individual,Très bon prix,55000,09.12.2025,Normal,1ère main,Coupé,Gris anthracite,Rouge,Cuir intégral,4,3,(207) Coupé05/2009 - 12/2014,N/A,N/A
https://www.automobile.tn/fr/occasion/ford/mustang/120726,120726,Ford,Mustang,N/A,65000,2018,Automatique,Propulsion,Essence,19,Tunis,Individual,Prix très élevé,175000,09.12.2025,Très bon,2ème main,Coupé,Rouge,Rouge,Cuir intégral,4,3,VI Coupé05/2014 - Aujourd'hui,N/A,N/A
https://www.automobile.tn/fr/occasion/porsche/panamera/114893,114893,Porsche,Panamera,N/A,140000,2010,Automatique,Intégrale,Essence,30,Tunis,Individual,Prix élevé,190000,09.12.2025,Très bon,2ème main,Berline,Marron,Beige,Cuir intégral,4,5,Panamara 97002/2009 - 06/2013,N/A,N/A
https://www.automobile.tn/fr/occasion/mercedes-benz/classe-e/121230,121230,Mercedes Benz,Classe E,E,295000,2010,Manuelle,Propulsion,Diesel,9,Sfax,Individual,Prix équitable,55000,09.12.2025,Très bon,1ère main,Berline,Gris argent,Noir,Cuir intégral,5,4,(212) Berline02/2009 - 02/2013,N/A,N/A
