iter	MAE
0	42027.7108
1	40152.37825
2	38125.27731
3	36457.80925
4	35093.33086
5	33473.65794
6	31919.38728
7	30312.99396
8	28916.96786
9	27677.92894
10	26746.34579
11	25878.95606
12	24870.11018
13	24110.6299
14	23387.74468
15	22709.96499
16	22110.68675
17	21643.53371
18	21048.20859
19	20663.62867
20	20252.11972
21	19996.58155
22	19635.86193
23	19330.02463
24	19150.4569
25	18671.71396
26	18357.14155
27	18092.73678
28	17674.52689
29	17462.56998
30	17225.80419
31	16975.76391
32	16677.49675
33	16574.27328
34	16302.02725
35	16129.50853
36	15907.74331
37	15814.3504
38	15707.76325
39	15649.94873
40	15548.7678
41	15467.63032
42	15357.6263
43	15323.14151
44	15216.88741
45	15169.70628
46	15106.82459
47	15003.37123
48	14847.32394
49	14749.04132
50	14687.34542
51	14581.85974
52	14556.91743
53	14431.4372
54	14351.48101
55	14312.6366
56	14263.67904
57	14185.2704
58	14147.05483
59	14116.82282
60	14012.11028
61	13939.07938
62	13903.04246
63	13867.26067
64	13799.93593
65	13771.90121
66	13745.72836
67	13665.91559
68	13628.97433
69	13590.72637
70	13560.57091
71	13506.35918
72	13460.66819
73	13405.08112
74	13346.42916
75	13301.07362
76	13205.24157
77	13151.06529
78	13033.07458
79	12972.67172
80	12927.48125
81	12869.41338
82	12810.01181
83	12757.01058
84	12737.998
85	12675.80704
86	12635.84738
87	12543.65784
88	12468.08161
89	12443.08216
90	12431.62004
91	12391.45738
92	12354.04064
93	12308.83915
94	12262.55738
95	12232.43717
96	12172.84539
97	12132.86859
98	12112.75125
99	12019.41526
100	11961.06105
101	11919.07856
102	11882.19999
103	11848.54611
104	11830.99729
105	11813.03861
106	11762.81484
107	11737.09795
108	11712.20384
109	11693.88565
110	11636.87876
111	11586.82994
112	11539.33263
113	11526.58667
114	11509.16657
115	11466.18275
116	11414.36947
117	11382.99923
118	11354.14108
119	11329.38653
120	11314.15928
121	11301.74939
122	11287.94706
123	11271.51379
124	11251.55961
125	11216.19106
126	11206.05446
127	11182.19064
128	11170.6614
129	11121.70368
130	11089.69965
131	11072.34061
132	11065.90453
133	11018.22271
134	10980.81775
135	10968.2554
136	10957.10375
137	10910.29648
138	10884.6968
139	10862.55778
140	10853.18584
141	10835.88111
142	10821.64137
143	10799.19198
144	10780.81071
145	10740.30417
146	10732.2162
147	10726.97628
148	10713.1089
149	10704.97811
150	10689.58232
151	10682.53301
152	10663.42838
153	10661.59164
154	10654.82682
155	10615.93087
156	10606.01794
157	10589.93927
158	10565.42982
159	10559.54811
160	10539.11049
161	10530.78722
162	10526.71452
163	10510.76913
164	10502.85137
165	10490.3074
166	10481.47053
167	10476.43056
168	10458.07776
169	10447.29871
170	10439.89872
171	10427.5916
172	10420.61547
173	10378.87571
174	10366.29486
175	10346.79352
176	10330.54826
177	10305.60378
178	10300.40592
179	10281.3588
180	10277.10489
181	10270.52223
182	10261.46281
183	10257.58555
184	10252.76952
185	10234.2182
186	10231.39206
187	10225.33365
188	10216.18158
189	10211.83475
190	10209.84651
191	10204.94107
192	10200.38554
193	10186.46686
194	10179.11297
195	10161.70849
196	10150.76384
197	10143.38152
198	10141.78931
199	10139.15247
200	10138.23156
201	10134.49366
202	10128.93724
203	10125.249
204	10116.24998
205	10115.11696
206	10095.06613
207	10093.15977
208	10089.74697
209	10082.65259
210	10064.25296
211	10062.34142
212	10061.15829
213	10060.24551
214	10054.33347
215	10053.70842
216	10043.25068
217	10034.98809
218	10028.42518
219	10016.81696
220	10014.02103
221	10012.8631
222	10011.56024
223	10009.46867
224	10009.2132
225	10008.66538
226	10004.40483
227	9984.778177
228	9970.006788
229	9966.242285
230	9961.525623
231	9953.173205
232	9949.556673
233	9942.896679
234	9926.439432
235	9925.143545
236	9900.290896
237	9899.306978
238	9890.142239
239	9889.002697
240	9884.170703
241	9880.26431
242	9876.095193
243	9874.683968
244	9874.417231
245	9871.668932
246	9863.962349
247	9848.333691
248	9847.787661
249	9844.833185
250	9839.697719
251	9833.264354
252	9819.715675
253	9819.377476
254	9816.494151
255	9814.324447
256	9810.866508
257	9803.592234
258	9803.314291
259	9801.128535
260	9799.500296
261	9779.34887
262	9773.759862
263	9771.242034
264	9769.675894
265	9759.79518
266	9749.881997
267	9749.133853
268	9748.009307
269	9740.424776
270	9730.682937
271	9722.113431
272	9721.756266
273	9709.486795
274	9704.244469
275	9702.839175
276	9698.555127
277	9686.577057
278	9666.927697
279	9653.983936
280	9649.129397
281	9648.713821
282	9645.961636
283	9645.648878
284	9644.693175
285	9638.499983
286	9633.595619
287	9625.768779
288	9624.636148
289	9622.117418
290	9617.968637
291	9607.2661
292	9607.088012
293	9605.741873
294	9588.871255
295	9570.578629
296	9538.603534
297	9515.857799
298	9512.706507
299	9501.699818
