iter	Passed	Remaining
0	207	62011
1	402	59932
2	636	62968
3	857	63427
4	1085	64022
5	1327	65042
6	1550	64917
7	1773	64733
8	2027	65552
9	2348	68116
10	2575	67672
11	2804	67316
12	3048	67310
13	3294	67307
14	3551	67484
15	3781	67129
16	3994	66495
17	4217	66073
18	4456	65907
19	4697	65764
20	4916	65316
21	5147	65043
22	5371	64688
23	5597	64374
24	5802	63826
25	6018	63422
26	6233	63032
27	6485	63004
28	6707	62677
29	6921	62292
30	7157	62104
31	7393	61921
32	7633	61761
33	7899	61798
34	8107	61384
35	8332	61102
36	8568	60909
37	8792	60622
38	8989	60159
39	9175	59642
40	9387	59303
41	9606	59013
42	9814	58656
43	10023	58321
44	10248	58072
45	10459	57752
46	10677	57475
47	10907	57266
48	11151	57124
49	11385	56929
50	11591	56593
51	11807	56311
52	12035	56092
53	12307	56067
54	12545	55885
55	12747	55543
56	12962	55259
57	13199	55074
58	13389	54690
59	13597	54388
60	13838	54218
61	14069	54009
62	14272	53692
63	14464	53337
64	14673	53049
65	14848	52645
66	15110	52549
67	15355	52389
68	15572	52132
69	15824	51994
70	16060	51799
71	16242	51435
72	16444	51135
73	16652	50858
74	16851	50555
75	17090	50372
76	17277	50038
77	17793	50643
78	18059	50521
79	18235	50146
80	18448	49880
81	18632	49533
82	18818	49198
83	19020	48909
84	19168	48484
85	19382	48230
86	19633	48069
87	19837	47791
88	20050	47535
89	20249	47249
90	20348	46735
91	20551	46464
92	20733	46148
93	20935	45879
94	21154	45650
95	21367	45406
96	21546	45093
97	21751	44834
98	21949	44564
99	22144	44288
100	22367	44070
101	22565	43804
102	22767	43546
103	23031	43405
104	23125	42948
105	23329	42697
106	23457	42311
107	23664	42070
108	23860	41811
109	24084	41599
110	24241	41275
111	24407	40969
112	24507	40555
113	24723	40337
114	24846	39969
115	25078	39779
116	25255	39502
117	25430	39223
118	25654	39020
119	25877	38815
120	26079	38579
121	26290	38358
122	26397	37986
123	26576	37720
124	26774	37484
125	26954	37222
126	27067	36871
127	27264	36637
128	27460	36401
129	27639	36144
130	27831	35904
131	28110	35776
132	28316	35555
133	28466	35264
134	28656	35024
135	28856	34797
136	29011	34517
137	29197	34275
138	29403	34057
139	29624	33856
140	29778	33580
141	29958	33334
142	30149	33100
143	30350	32879
144	30533	32639
145	30768	32454
146	30854	32113
147	30972	31809
148	31160	31578
149	31348	31348
150	31538	31120
151	31662	30829
152	31811	30564
153	31857	30202
154	31970	29907
155	32147	29674
156	32327	29444
157	32523	29230
158	32715	29012
159	32787	28688
160	32969	28464
161	33078	28177
162	33227	27927
163	33418	27713
164	33488	27400
165	33616	27136
166	33711	26848
167	33808	26564
168	33884	26265
169	34039	26030
170	34219	25814
171	34379	25584
172	34478	25310
173	34661	25099
174	34789	24849
175	35011	24667
176	35216	24472
177	35390	24256
178	35484	23987
179	35649	23766
180	35729	23490
181	35869	23256
182	35984	23006
183	36135	22781
184	36191	22497
185	36372	22292
186	36412	22003
187	36507	21749
188	36623	21509
189	36680	21236
190	36727	20959
191	36914	20764
192	37061	20546
193	37150	20298
194	37306	20088
195	37452	19872
196	37594	19656
197	37730	19436
198	37826	19198
199	37899	18949
200	37956	18695
201	38012	18441
202	38131	18220
203	38183	17968
204	38293	17745
205	38405	17524
206	38625	17353
207	38687	17111
208	38784	16886
209	38862	16655
210	39041	16467
211	39098	16229
212	39148	15990
213	39221	15762
214	39326	15547
215	39375	15312
216	39488	15103
217	39640	14910
218	39730	14694
219	39921	14516
220	39977	14290
221	40022	14061
222	40076	13838
223	40166	13627
224	40221	13407
225	40268	13185
226	40362	12979
227	40531	12799
228	40711	12622
229	40846	12431
230	41054	12262
231	41214	12080
232	41344	11888
233	41480	11699
234	41605	11507
235	41719	11313
236	41894	11136
237	41963	10931
238	42128	10752
239	42207	10551
240	42291	10353
241	42364	10153
242	42448	9956
243	42511	9756
244	42549	9552
245	42617	9355
246	42740	9171
247	42908	8996
248	42964	8799
249	43051	8610
250	43102	8414
251	43250	8238
252	43426	8067
253	43547	7886
254	43662	7705
255	43725	7515
256	43805	7329
257	43926	7150
258	43977	6961
259	44065	6779
260	44132	6594
261	44343	6431
262	44491	6259
263	44578	6078
264	44652	5897
265	44787	5724
266	44965	5557
267	45014	5374
268	45067	5193
269	45166	5018
270	45263	4843
271	45340	4667
272	45395	4489
273	45538	4321
274	45616	4146
275	45710	3974
276	45924	3813
277	46134	3650
278	46305	3485
279	46440	3317
280	46545	3147
281	46609	2975
282	46701	2805
283	46761	2634
284	46830	2464
285	46939	2297
286	47037	2130
287	47190	1966
288	47254	1798
289	47307	1631
290	47362	1464
291	47527	1302
292	47579	1136
293	47643	972
294	47840	810
295	48029	649
296	48208	486
297	48351	324
298	48455	162
299	48620	0
